Group_Type,Group_Value,N,AI_Sens,AI_Sens_CI,AI_Spec,AI_Spec_CI,Mc_Sens,Mc_Sens_CI,Mc_Spec,Mc_Spec_CI
Age,Senior,2433,0.22935779816513763,(0.160-0.317),1.0,(0.998-1.000),0.11926605504587157,(0.071-0.193),0.9991394148020654,(0.997-1.000)
Age,YoungAdult,2499,0.6771523178807947,(0.639-0.713),0.9968337730870712,(0.993-0.999),0.2897350993377483,(0.255-0.327),0.9672823218997362,(0.958-0.974)
Age,Child,2485,0.13043478260869565,(0.099-0.170),0.9990654205607477,(0.997-1.000),0.7942028985507247,(0.748-0.834),0.7771028037383177,(0.759-0.794)
Age,Adult,2583,0.1509433962264151,(0.095-0.231),0.9995962858296327,(0.998-1.000),0.11320754716981132,(0.066-0.188),0.9983851433185305,(0.996-0.999)
McIsaac_Severity,Low (0-1),7250,0.38801261829652994,(0.336-0.443),0.9997115245925284,(0.999-1.000),,,,
McIsaac_Severity,Mid (2-3),2482,0.4655436447166922,(0.428-0.504),0.9967195188627666,(0.993-0.998),,,,
McIsaac_Severity,High (4+),268,0.35051546391752575,(0.287-0.420),0.9864864864864865,(0.927-0.998),,,,
